,Name,Email,Phone,Book,Genre,Pages Read
0,Sami,Sami@orion.com,0530319663,Algorithms,Education,103
1,Ameer,Ameer@orion.com,0578610418,Algorithms,Education,83
2,Tareq,Tareq@orion.com,0545894868,GoT,Fantasy,23
3,Ali,Ali@orion.com,0541672763,Harry Poter,Fantasy,32
4,Abdullah,Abdullah@orion.com,0595643027,Harry Poter,Fantasy,142
5,Mohammed,Mohammed@orion.com,0590766824,Say Yes to Yourself and No to Others,Self Dev,29
6,Samia,Samia@orion.com,0562716853,Algorithms,Education,64
7,Ameer,Ameer@orion.com,0578610418,GoT,Fantasy,131
8,Sami,Sami@orion.com,0530319663,Harry Poter,Fantasy,490
9,Ahmed,Ahmed@orion.com,0550676347,GoT,Fantasy,106
10,Ameer,Ameer@orion.com,0578610418,Romeo and Juliet,Romance,140
11,Samia,Samia@orion.com,0562716853,50 Shades of Gray,Romance,5
12,Anwar,Anwar@orion.com,0541723244,Harry Poter,Fantasy,320
13,Anwar,Anwar@orion.com,0541723244,50 Shades of Gray,Romance,45
14,Ahmed,Ahmed@orion.com,0550676347,Harry Poter,Fantasy,123
15,Sami,Sami@orion.com,0530319663,Say Yes to Yourself and No to Others,Self Dev,20
16,Samia,Samia@orion.com,0562716853,GoT,Fantasy,21
17,Anwar,Anwar@orion.com,0541723244,Romeo and Juliet,Romance,70
18,Sami,Sami@orion.com,0530319663,Algorithms,Education,90
19,Tareq,Tareq@orion.com,0545894868,50 Shades of Gray,Romance,40
20,Anwar,Anwar@orion.com,0541723244,Romeo and Juliet,Romance,85
21,Tareq,Tareq@orion.com,0545894868,Algorithms,Education,23
22,Ameer,Ameer@orion.com,0578610418,Harry Poter,Fantasy,224
23,Anwar,Anwar@orion.com,0541723244,GoT,Fantasy,56
24,Ahmed,Ahmed@orion.com,0550676347,Say Yes to Yourself and No to Others,Self Dev,32
25,Tareq,Tareq@orion.com,0545894868,GoT,Fantasy,132
26,Sami,Sami@orion.com,0530319663,GoT,Fantasy,128
27,Abdullah,Abdullah@orion.com,0595643027,Harry Poter,Fantasy,86
28,Mohammed,Mohammed@orion.com,0590766824,50 Shades of Gray,Romance,50
29,Abdullah,Abdullah@orion.com,0595643027,Romeo and Juliet,Romance,32
30,Anwar,Anwar@orion.com,0541723244,GoT,Fantasy,81
31,Ali,Ali@orion.com,0541672763,Romeo and Juliet,Romance,50
32,Jana,Jana@orion.com,0550520109,Say Yes to Yourself and No to Others,Self Dev,20
33,Abdullah,Abdullah@orion.com,0595643027,Algorithms,Education,39
34,Samia,Samia@orion.com,0562716853,Say Yes to Yourself and No to Others,Self Dev,30
35,Ameer,Ameer@orion.com,0578610418,Harry Poter,Fantasy,255
36,Anwar,Anwar@orion.com,0541723244,Romeo and Juliet,Romance,35
37,Sami,Sami@orion.com,0530319663,Say Yes to Yourself and No to Others,Self Dev,18
38,Khaldon,Khaldon@orion.com,0587918153,Romeo and Juliet,Romance,156
39,Anwar,Anwar@orion.com,0541723244,50 Shades of Gray,Romance,50
